original_filename,section,substage,website_selection,notes
20211005_224825.jpg,Basic Sketch,Boxes,Shortlist,Opening example of early box practice
1633530422339.jpg,Basic Sketch,Lines and boxes,Archive,Social-media collage of work shown elsewhere
20211006_232212.jpg,Basic Sketch,Box-shaped objects,Alternate,Early object study; less clear than later examples
20211006_232357.jpg,Basic Sketch,Lines,Shortlist,Strong line-control and hatching exercise
20211006_232414.jpg,Basic Sketch,Boxes,Archive,Similar construction practice is represented elsewhere
20211007_011301.jpg,Basic Sketch,Boxes,Shortlist,Clear perspective-box construction
20211007_011516.jpg,Basic Sketch,Boxes,Archive,Process photo with hand and ruler obscuring the page
20211007_191322.jpg,Basic Sketch,Boxes,Alternate,Useful box-construction spread
20211013_003209.jpg,Basic Sketch,Box-shaped objects,Alternate,Good transition from boxes to objects
20211013_003222.jpg,Basic Sketch,Box-shaped objects,Archive,Tight crop with stronger alternatives
20211014_011918.jpg,Basic Sketch,Box-shaped objects,Alternate,Long box-form object studies
20211014_011927.jpg,Basic Sketch,Box-shaped objects,Archive,Alternate crop of the same study
20211015_024634.jpg,Basic Sketch,Box-shaped objects,Archive,Tight crop with stronger alternatives
20211015_024751.jpg,Basic Sketch,Circles and ellipses,Shortlist,Clear ellipse-practice milestone
20211020_043433.jpg,Basic Sketch,Rounded objects,Alternate,Rounded-cuboid construction
20211020_043437.jpg,Basic Sketch,Rounded objects,Alternate,Rounded-cuboid construction
20211020_043515.jpg,Basic Sketch,Rounded objects,Alternate,Cylinder and circular-object study
20211020_170636.jpg,Basic Sketch,Circles and ellipses,Shortlist,Strong overview of ellipse practice
20211021_022302.jpg,Basic Sketch,Circles and ellipses,Alternate,Ellipse drill sheet
20211021_022310.jpg,Basic Sketch,Circles and ellipses,Shortlist,Ellipses drawn in perspective
20211021_200209.jpg,Basic Sketch,Rounded objects,Alternate,Circular forms placed on planes
20211021_200324.jpg,Basic Sketch,Rounded objects,Shortlist,Clear cylinder-construction practice
20211026_125237.jpg,Basic Sketch,Combined-shape objects,Alternate,Several product-like combined forms
20211026_125245.jpg,Basic Sketch,Combined-shape objects,Shortlist,Strong rounded combined-form study
20211027_030249.jpg,Basic Sketch,Combined-shape objects,Alternate,Multiple product-form studies
20211028_035715.jpg,Basic Sketch,Combined-shape objects,Archive,Crowded sheet with stronger alternatives
20211028_035802.jpg,Basic Sketch,Rounded objects,Alternate,Rounded-box study
20211028_035806.jpg,Basic Sketch,Rounded objects,Archive,Alternate of the rounded-box study
20211028_035809.jpg,Basic Sketch,Rounded objects,Archive,Alternate of the rounded-box study
20211028_035824.jpg,Basic Sketch,Rounded objects,Shortlist,Clean rounded-box study with reduced construction lines
20211028_035840.jpg,Basic Sketch,Rounded objects,Archive,Alternate of the rounded-box study
20211104_125044.jpg,Basic Sketch,Combined-shape objects,Alternate,Mixed ring curve and box-form drills
20211104_125108.jpg,Basic Sketch,Combined-shape objects,Alternate,Cylinder and rounded-form composition
20211111_053347.jpg,Object Compositions,Details and functions,Shortlist,Multiple objects with functional details
20211111_053351.jpg,Object Compositions,Details and functions,Archive,Alternate crop of the same composition
